Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1687,2 BHK Ready to Occupy Flat for sale in Green City 4 Gotadpanjari Vela Hari Road,"Up for immediate sale is a 2 BHK apartment in Gotadpanjari Vela Hari Road, Nagpur. Don't miss this bargain flat for sale. It is based at Green City 4 complex, that occupies a prominent place in the locality. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Gotadpanjari Vela Hari Road can be availed at a reasonable price of INR 18.5 Lac. The flat is unfurnished and makes for an ideal choice for any family.",Call for Price,,nagpur,,Ready to Move,1 out of 4,Resale,Unfurnished,,,Green City 4,2,,,,600 sqft,,
1688,3 BHK Ready to Occupy Flat for sale in Sairam Residency II Manewada,"This exquisite 3 BHK Flat is offered for sale in Manewada, Nagpur. Situated in the excellent Sairam Residency Ii township. The flat enjoys a prime location. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move property in Manewada is readily available within an affordable cost of INR 45 Lac. This contemporary apartment is unfurnished.",45 Lac ,3333,nagpur,850 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,East,Main Road,Sairam Residency II,2,3,,Freehold,,,
1689,2 BHK Ready to Occupy Flat for sale in Hubtown Sunstone Bandra Kurla Complex,"This exquisite 2 BHK Flat is offered for sale in Bandra Kurla Complex, Mumbai. Situated in the Hubtown Sunstone township, it has a prime location. This flat for sale is just the type of property you have been searching for! This ready to move property in Bandra Kurla Complex is readily available within an affordable cost of INR 2.81 Cr. It is a unfurnished apartment. The prime landmarks near this property are this property is close to bkc..",2.81 Cr ,,mumbai,760 sqft,Ready to Move,20 out of 21,New Property,Unfurnished,East,"Garden/Park, Main Road",Hubtown Sunstone,2,1,1 Covered,Leasehold,,,
1690,2 BHK Ready to Occupy Flat for sale in Gumpha Darshan A And B CHS Borivali East,"This magnificent 2 BHK Flat is available for sale in Borivali East, Mumbai. Located in the Gumpha Darshan A And B Chs township, the flat enjoys access to the prime spots in the city. This apartment for resale is a great choice. Available at a reasonable selling price of INR 1.65 Cr, this ready to move apartment in Borivali East is a great buy. This premium unfurnished flat spells quality and comfort at a competitive price. jain derasar are some of the key nearby landmarks.",1.65 Cr ,19186,mumbai,620 sqft,Ready to Move,8 out of 12,Resale,Unfurnished,West,Garden/Park,Gumpha Darshan A And B CHS,2,,,Co-operative Society,,,
1691,2 BHK Ready to Occupy Flat for sale in Viceroy Chembur East,"This exquisite 2 BHK Flat is offered for sale in Chembur East, Mumbai. This flat is situated within the renown township of Viceroy. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 2.18 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Prominent landmarks in and around this locality are sindhi society..",Call for Price,,mumbai,707 sqft,Ready to Move,8 out of 14,Resale,Unfurnished,East,Garden/Park,Viceroy,2,,1 Covered,Freehold,,,
1692,4 BHK Ready to Occupy Flat for sale in Hiranandani Ambrosia Hiranandani Gardens,"Discover this immaculate 4 BHK flat for sale at the pristine Hiranandani Gardens in Mumbai. Well-tucked in the Hiranandani Ambrosia township, the property is easily accessible. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in the prime area of Hiranandani Gardens is available at a reasonable price of INR 11 Cr. The apartment is semi-furnished. hiranandani international schoolhiranandani hospital powaikanjurmarg railway station mumbai international airport are some of the well-known landmarks in this locality.",11 Cr ,38194,mumbai,1800 sqft,Ready to Move,23 out of 30,Resale,Semi-Furnished,,Garden/Park,Hiranandani Ambrosia,3,1,1 Covered,Freehold,,,
1693,2 BHK Ready to Occupy Flat for sale in Shreeji Aspire Malad West,"Carefully laid out in the prime location of Malad West in Mumbai, this spacious 2 BHK flat on sale is a meticulously planned project. It is in a prime location within the Shreeji Aspire. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 1.40 Cr. The flat is sold in unfurnished condition.",1.40 Cr ,24433,mumbai,,Ready to Move,5 out of 22,Resale,Unfurnished,,,Shreeji Aspire,2,,,,573 sqft,,
1694,4 BHK Ready to Occupy Flat for sale Lokhandwala Complex,This ready to move-in 4 BHK flat is available for sale at the premium Lokhandwala Complex in Mumbai. Invest your valuable money in this flat that is for resale. This ready to move property in Lokhandwala Complex is readily available within an affordable cost of INR 7.49 Cr. The spacious apartment is unfurnished. lokhandwala complex infinity mall are a few nearby landmarks.,7.49 Cr ,26281,mumbai,1730 sqft,Ready to Move,18 out of 29,Resale,Unfurnished,North - East,Main Road,,5,2,2 Covered,Freehold,,,
1695,2 BHK Ready to Occupy Flat for sale Mira Bhayandar,"Carefully laid out in the prime location of Mira Bhayandar in Mumbai, this spacious 2 BHK flat on sale is a meticulously planned project. This is one of the best properties available for sale. This apartment in one of the significant areas of Mira Bhayandar is ready to move, and can be purchased at the best price of INR 85 Lac. This contemporary apartment is semi-furnished. The flat is easily approachable because it is near to galaxy hospital.",85 Lac ,8441,mumbai,650 sqft,Ready to Move,13 out of 14,New Property,Semi-Furnished,North - East,Main Road,,2,3,1 Open,Freehold,,,
1696,2 BHK Ready to Occupy Flat for sale in Orchid Enclave Mumbai Central Mumbai Central,"This exquisite 2 BHK Flat is offered for sale in Mumbai Central, Mumbai. It is based at Orchid Enclave Mumbai Central complex, that occupies a prominent place in the locality. This flat is an attractive property for resale. You can buy this ready to move flat in Mumbai Central at a reasonable price of INR 3.75 Cr. Available in unfurnished state, this flat is a great buy.",3.75 Cr ,28302,mumbai,,Ready to Move,8 out of 55,Resale,Unfurnished,,,Orchid Enclave Mumbai Central,2,,,,1325 sqft,,
1697,2 BHK Ready to Occupy Flat for sale in Orchid Enclave Mumbai Central Mumbai Central,"This exquisite 2 BHK Flat is offered for sale in Mumbai Central, Mumbai. This flat is situated in the Orchid Enclave Mumbai Central township and is equipped with premium facilities. This flat is an attractive property for resale. This ready to move flat located in Mumbai Central is available for purchase at a fair price of INR 3.75 Cr. This premium semi-furnished flat spells quality and comfort at a competitive price.",3.75 Cr ,32609,mumbai,,Ready to Move,10 out of 32,Resale,Semi-Furnished,,,Orchid Enclave Mumbai Central,2,,,,1150 sqft,,
1698,2 BHK Ready to Occupy Flat for sale in DB Woods Gokuldham Colony Goregaon East,"One can find this stunning 2 BHK flat for sale in Gokuldham, Mumbai. Well-tucked in the Db Woods township, the property is easily accessible. This flat for sale is a choice property. This apartment ready to move in the Gokuldham is available for an attractive price of INR 2.15 Cr. The apartment is semi-furnished.",Call for Price,,mumbai,,Ready to Move,3 out of 45,New Property,Semi-Furnished,,,DB Woods,2,,,,1400 sqft,,
1699,2 BHK Ready to Occupy Flat for sale in DB Woods Goregaon East,"Creatively planned and constructed is a 2 BHK flat for sale in Goregaon East, Mumbai. Strategically situated in the Db Woods site, it is placed at a prime location. This flat is available as a sale property. You can buy this ready to move flat in Goregaon East at a reasonable price of INR 2.19 Cr. It is semi-furnished to accommodate your needs.",Call for Price,,mumbai,,Ready to Move,9 out of 45,New Property,Semi-Furnished,,,DB Woods,2,,,,1400 sqft,,
